Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Kravchenko, A.V.","18634456100","The experiential basis of speech and writing as different cognitive domains",2009,"Pragmatics and Cognition",17,"3",,527,548,,37,10.1075/p17.3.03kra,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72549117078&partnerID=40&md5=64cb8179c34cae506892bbd07a3ed60e",Article,Final,,Scopus,2-s2.0-72549117078
"Cowley, S.J.","35233147500","Distributed language and dynamics",2009,"Pragmatics and Cognition",17,"3",,495,507,,43,10.1075/p17.3.01cow,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72549114433&partnerID=40&md5=a653e70e5bb1515c3a759e5b8d7013b2",Review,Final,,Scopus,2-s2.0-72549114433
"Tylén, K., Phillipsen, J.S., Weed, E.","24734120100; 35234529700; 24281959000","Taking the language stance in a material world: A comprehension study",2009,"Pragmatics and Cognition",17,"3",,573,595,,6,10.1075/p17.3.05tyl,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72549097693&partnerID=40&md5=6541757403c57399003b0170bf3624ca",Article,Final,,Scopus,2-s2.0-72549097693
"Fioratou, E., Cowley, S.J.","43761250000; 35233147500","Insightful thinking: Cognitive dynamics and material artifacts",2009,"Pragmatics and Cognition",17,"3",,549,572,,19,10.1075/p17.3.04fio,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71949130745&partnerID=40&md5=e0c373ede3973b2e520b63c8721eefb7",Article,Final,,Scopus,2-s2.0-71949130745
"Fountain, C.","35229274100","Worthy the name of a grammar: Verb morphology and conjugation in Carochi's Arte de la Lengua Mexicana (1645) and Eliot's the Indian Grammar Begun (1666)",2009,"Historiographia Linguistica",36,"2-3",,281,298,,1,10.1075/hl.36.2.06fou,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72449208620&partnerID=40&md5=352e9e3ad3832e6f1f5534f2e2b33441",Article,Final,,Scopus,2-s2.0-72449208620
"Bossong, G.","24517207300","The typology of Tupi-Guarani as reflected in the grammars of four Jesuit missionaries: Anchieta (1595), Aragona (c.1625), Montoya (1640) and Restivo (1729)",2009,"Historiographia Linguistica",36,"2-3",,225,258,,6,10.1075/hl.36.2.04bos,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72449203284&partnerID=40&md5=5349a3c01fb9bcae44e54b8a1d9a5401",Article,Final,,Scopus,2-s2.0-72449203284
"Pharo, L.K.","18234100800","Translating non-denominational concepts in describing a religious system: A semantic analysis of colonial dictionaries in Nahuatl and Yucatec",2009,"Historiographia Linguistica",36,"2-3",,345,360,,4,10.1075/hl.36.2.09pha,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72449178482&partnerID=40&md5=1aa9be81d3fc7371ee87c82bd62c978d",Article,Final,,Scopus,2-s2.0-72449178482
"Koerner, E.F.K.","23019193200","Koerner's Korner",2009,"Historiographia Linguistica",36,"2-3",,481,488,,4,10.1075/hl.36.2.22koe,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72449168992&partnerID=40&md5=de2a6e16cae4d5ba17ad208d1db2369a",Article,Final,,Scopus,2-s2.0-72449168992
"Nevin, B.E.","35230332400","More concerning the roots of transformational generative grammar",2009,"Historiographia Linguistica",36,"2-3",,459,479,,1,10.1075/hl.36.2.21nev,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72449149786&partnerID=40&md5=31a56c813b21fc9db5ea2787cc3bd85f",Article,Final,,Scopus,2-s2.0-72449149786
"Swiggers, P.","26034747100","David Zeisberger's description of Delaware morphology (1827)",2009,"Historiographia Linguistica",36,"2-3",,325,344,,4,10.1075/hl.36.2.08swi,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72449139674&partnerID=40&md5=ea0604e7ffc34ed750c12cba1a47ea95",Article,Final,,Scopus,2-s2.0-72449139674
"Levi, J.A.","35230059800","Portuguese and other European missionaries in Africa: A look at their linguistic production and attitudes (1415-1885)",2009,"Historiographia Linguistica",36,"2-3",,363,392,,4,10.1075/hl.36.2.10lev,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72449130073&partnerID=40&md5=93a38e553808b771a2d5e077cca960d7",Review,Final,,Scopus,2-s2.0-72449130073
"Legère, K.","35230010000","Missionary contributions to Bantu languages in Tanzania: James Thomas Last (1850-1933) and the Vidunda language",2009,"Historiographia Linguistica",36,"2-3",,393,406,,3,10.1075/hl.36.2.11leg,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72449120452&partnerID=40&md5=988388d8bfd48dfbb9d1f1307f0bce2c",Article,Final,,Scopus,2-s2.0-72449120452
"Bölte, J., Jansma, B.M., Zilverstand, A., Zwitserlood, P.","15047418700; 6506330017; 35231916700; 55919935900","Derivational morphology approached with event-related potentials",2009,"Mental Lexicon",4,"3",,336,353,,13,10.1075/ml.4.3.02bol,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72449195918&partnerID=40&md5=1bd250447226c40b9a01a395b5f7e222",Article,Final,,Scopus,2-s2.0-72449195918
"Marelli, M., Crepaldi, D., Luzzatti, C.","35230186900; 9433492000; 7004679264","A constituent priming study in Italian",2009,"Mental Lexicon",4,"3",,430,454,,24,10.1075/ml.4.3.05mar,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72449168084&partnerID=40&md5=a3680ce69be535c8d5d51bb2915d22e3",Article,Final,,Scopus,2-s2.0-72449168084
"Mondini, S., Kehayia, E., Gillon, B., Arcara, G., Jarema, G.","7003747602; 6701586207; 7003587565; 36714999100; 7004570926","How word recognition reaction times correlate with lexical and morpho-syntactic processing",2009,"Mental Lexicon",4,"3",,354,379,,10,10.1075/ml.4.3.03mon,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72449155753&partnerID=40&md5=d8baf3c13b31e1f8fd906c8016c2395c",Article,Final,,Scopus,2-s2.0-72449155753
"Paradis, C., Willners, C., Jones, S.","22986285800; 13403021700; 55732353600","Using textual and experimental techniques to measure antonym canonicity",2009,"Mental Lexicon",4,"3",,380,429,,44,10.1075/ml.4.3.04par,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72449139254&partnerID=40&md5=c2c8dc44c5554caeb181c916d0d9c6f5",Article,Final,,Scopus,2-s2.0-72449139254
"Van Leerdam, M., Bosman, A.M.T., De Groot, A.M.B.","6602556044; 35228572900; 7202864342","Dynamics of phonological coding in bilingual visual word perception",2009,"Mental Lexicon",4,"3",,303,335,,2,10.1075/ml.4.3.01van,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72449121535&partnerID=40&md5=9cd0807aa7ba7c0604f8c369086c8153",Article,Final,,Scopus,2-s2.0-72449121535
"Kemp, J.","57196836339","The listening log: Motivating autonomous learning",2009,"ELT Journal",64,"4",,385,395,,16,10.1093/elt/ccp099,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77956901784&partnerID=40&md5=7a636bb7ac1581f046f3b9dad7140901",Article,Final,,Scopus,2-s2.0-77956901784
"Marshall, H.W., DeCapua, A.","33368052600; 6508097085","The newcomer booklet: A project for limited formally schooled students",2009,"ELT Journal",64,"4",,396,404,,1,10.1093/elt/ccp100,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77956926586&partnerID=40&md5=e63bc11fdc3f0cd5907690187142ff12",Article,Final,,Scopus,2-s2.0-77956926586
"Garrett, N.","35218678600","Computer-assisted language learning trends and issues revisited: Integrating innovation",2009,"Modern Language Journal",93,"SUPPL. 1",,719,740,,109,10.1111/j.1540-4781.2009.00969.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71849095723&partnerID=40&md5=63e0b4d237c79ee1b74d8972e96ba8aa",Article,Final,,Scopus,2-s2.0-71849095723
"Blake, R.J.","7202419549","The use of technology for second language distance learning",2009,"Modern Language Journal",93,"SUPPL. 1",,822,835,,44,10.1111/j.1540-4781.2009.00975.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71849088926&partnerID=40&md5=31ae9ff4b8f44a594a44eaf1598e3619",Article,Final,,Scopus,2-s2.0-71849088926
"Egbert, J., Huff, L., Mcneil, L., Preuss, C., Sellen, J.","24378288500; 35219782800; 35220165200; 35220369600; 35220577700","Pedagogy, process, and classroom context: Integrating teacher voice and experience into research on technology-enhanced language learning",2009,"Modern Language Journal",93,"SUPPL. 1",,754,768,,26,10.1111/j.1540-4781.2009.00971.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71849085909&partnerID=40&md5=e04170182642a1e5727bdb8204be69c7",Article,Final,,Scopus,2-s2.0-71849085909
"Chapelle, C.A.","6603086654","The relationship between second language acquisition theory and computer-assisted language learning",2009,"Modern Language Journal",93,"SUPPL. 1",,741,753,,115,10.1111/j.1540-4781.2009.00970.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71849118410&partnerID=40&md5=7f48c0e413cc086770c9911f81919c3e",Article,Final,,Scopus,2-s2.0-71849118410
"Chapelle, C.A.","6603086654","In memoriam: James pusack, 1945-2008",2009,"Modern Language Journal",93,"SUPPL. 1",,783,783,,,10.1111/j.1540-4781.2009.00967.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71849114903&partnerID=40&md5=515bfa9190ff15952c25d254dbb0be2f",Article,Final,,Scopus,2-s2.0-71849114903
"Thorne, S.L., Black, R.W., Sykes, J.M.","9334291900; 9037515600; 35219273100","Second language use, socialization, and learning in internet interest communities and online gaming",2009,"Modern Language Journal",93,"SUPPL. 1",,802,821,,243,10.1111/j.1540-4781.2009.00974.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71849112207&partnerID=40&md5=cd9983474353bc278a6857ec35a82a9a",Article,Final,,Scopus,2-s2.0-71849112207
"Lafford, B.A.","23768007200","Toward an ecological CALL: Update to garrett (1991)",2009,"Modern Language Journal",93,"SUPPL. 1",,673,696,,32,10.1111/j.1540-4781.2009.00966.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71849111702&partnerID=40&md5=0f49f0d4c4934b9bbaff609fe52420db",Article,Final,,Scopus,2-s2.0-71849111702
"Smith, B., Lafford, B.A.","55476058700; 23768007200","The evaluation of scholarly activity in computer-assisted language learning",2009,"Modern Language Journal",93,"SUPPL. 1",,868,883,,25,10.1111/j.1540-4781.2009.00978.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71849107316&partnerID=40&md5=e7bdaf87396af42be94180d6b022cac6",Article,Final,,Scopus,2-s2.0-71849107316
"Cummins, P.W., Davesne, C.","26423551900; 35218652000","Using electronic portfolios for second language assessment",2009,"Modern Language Journal",93,"SUPPL. 1",,848,867,,30,10.1111/j.1540-4781.2009.00977.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71849105348&partnerID=40&md5=28fa47777df0f449fca48a4f3aae5704",Article,Final,,Scopus,2-s2.0-71849105348
"Levy, M.","7404617352","Technologies in use for second language learning",2009,"Modern Language Journal",93,"SUPPL. 1",,769,782,,150,10.1111/j.1540-4781.2009.00972.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71849104848&partnerID=40&md5=aa72c5c86e8e412206dfc5031c2df765",Article,Final,,Scopus,2-s2.0-71849104848
"Ockey, G.J.","24166992700","Developments and challenges in the use of computer-based testing for assessing second language ability",2009,"Modern Language Journal",93,"SUPPL. 1",,836,847,,29,10.1111/j.1540-4781.2009.00976.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71849102954&partnerID=40&md5=a527da60e74dac07ce885da6e7180040",Article,Final,,Scopus,2-s2.0-71849102954
"Otto, S.E.K., Pusack, J.P.","16473610100; 16473707000","Computer-assisted language learning authoring issues",2009,"Modern Language Journal",93,"SUPPL. 1",,784,801,,12,10.1111/j.1540-4781.2009.00973.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71849089607&partnerID=40&md5=b5c3d212a48adb9d31d5732b1f8a8f33",Article,Final,,Scopus,2-s2.0-71849089607
"Garrett, N.","35218678600","Technology in the service of language learning: Trends and issues",2009,"Modern Language Journal",93,"SUPPL. 1",,697,718,,4,10.1111/j.1540-4781.2009.00968.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71849085785&partnerID=40&md5=713742a681f5036a51469c6c565354ce",Article,Final,,Scopus,2-s2.0-71849085785
"Swarbrick, K.","35977260300","Truismes and truths",2009,"Forum for Modern Language Studies",46,"1", cqp123,58,70,,2,10.1093/fmls/cqp123,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77951650337&partnerID=40&md5=01de240baae34dd40824dbdeb8444759",Article,Final,,Scopus,2-s2.0-77951650337
"Loucky, J.P.","6507729013","Constructing a roadmap to more systematic and successful online reading and vocabulary acquisition",2009,"Literary and Linguistic Computing",25,"2", fqp039,225,241,,4,10.1093/llc/fqp039,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77953902718&partnerID=40&md5=2705b6cb0d623e8d4eb7c34be0a81ee5",Article,Final,,Scopus,2-s2.0-77953902718
"Theunissen, M., Swanepoel, D.W., Hanekom, J.","24825565600; 13609471200; 6603619826","Sentence recognition in noise: Variables in compilation and interpretation of tests",2009,"International Journal of Audiology",48,"11",,743,757,,38,10.3109/14992020903082088,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71449102074&partnerID=40&md5=12d90f59faa410f0f602a7f54a02de2e",Review,Final,,Scopus,2-s2.0-71449102074
"Fetoni, A.R., Ferraresi, A., Picciotti, P., Gaetani, E., Paludetti, G., Troiani, D.","6602466495; 6602594183; 8894676100; 7003631094; 7006913109; 6603841719","Noise induced hearing loss and vestibular dysfunction in the guinea pig",2009,"International Journal of Audiology",48,"11",,804,810,,14,10.3109/14992020903023140,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71449109130&partnerID=40&md5=56a0b4bee411ef48c5f3a2bea84552e5",Article,Final,,Scopus,2-s2.0-71449109130
"Williams, W.","7402972384","Trends in listening to personal stereos",2009,"International Journal of Audiology",48,"11",,784,788,,22,10.3109/14992020903037769,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71449119526&partnerID=40&md5=cc76818d1987f74f6128cd64e43b92f7",Article,Final,,Scopus,2-s2.0-71449119526
"Shpak, T., Koren, L., Tzach, N., Most, T., Luntz, M.","8671723000; 55175647100; 35742280300; 6603787411; 7005073151","Perception of speech by prelingual pre-adolescent and adolescent cochlear implant users",2009,"International Journal of Audiology",48,"11",,775,783,,13,10.3109/14992020903045184,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71449088012&partnerID=40&md5=5327998950fc7de09e2806b2edeefbaf",Article,Final,,Scopus,2-s2.0-71449088012
"Neher, T., Behrens, T., Carlile, S., Jin, C., Kragelund, L., Petersen, A.S., Schaik, A.V.","13606328900; 7005294630; 7003442169; 7401659157; 35740840300; 35741571100; 57210334967","Benefit from spatial separation of multiple talkers in bilateral hearing-aid users: Effects of hearing loss, age, and cognition",2009,"International Journal of Audiology",48,"11",,758,774,,49,10.3109/14992020903079332,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71449114985&partnerID=40&md5=883ede440d2420bdb54a228c29f46309",Article,Final,,Scopus,2-s2.0-71449114985
"Keidser, G., O'Brien, A., Hain, J.-U., McLelland, M., Yeend, I.","7004166211; 7102598185; 35169344700; 56429695500; 6504827864","The effect of frequency-dependent microphone directionality on horizontal localization performance in hearing-aid users",2009,"International Journal of Audiology",48,"11",,789,803,,26,10.3109/14992020903036357,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71449091677&partnerID=40&md5=3b46889ea3641ed0f143d982cedec8f8",Article,Final,,Scopus,2-s2.0-71449091677
"Al-Momani, M.O., Ferraro, J.A., Gajewski, B.J., Ator, G.","55609042600; 7005923851; 6602130014; 6603490458","Improved sensitivity of electrocochleography in the diagnosis of Meniere's disease",2009,"International Journal of Audiology",48,"11",,811,819,,24,10.3109/14992020903019338,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71449122166&partnerID=40&md5=a5957bed166a2a9edf0daf3fee99f34a",Article,Final,,Scopus,2-s2.0-71449122166
"France, P.","37082782100","Looking abroad: Two Edinburgh journals in the early nineteenth century",2009,"Forum for Modern Language Studies",46,"1", cqp122,2,15,,5,10.1093/fmls/cqp122,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77951650205&partnerID=40&md5=fb84b6663ddaf4258b480474459838eb",Article,Final,,Scopus,2-s2.0-77951650205
"Lynch, J.A.","55724262800","Articulating scientific practice: Understanding Dean hamer's ""gay gene"" study as overlapping material, social and rhetorical registers",2009,"Quarterly Journal of Speech",95,"4",,435,456,,10,10.1080/00335630903296168,"https://www.scopus.com/inward/record.url?eid=2-s2.0-70949107522&partnerID=40&md5=2a589a3a114474f2fac2d54902f97bdc",Article,Final,,Scopus,2-s2.0-70949107522
"Barney, T.","35191655500","Power lines: The rhetoric of maps as social change in the post-cold war landscape",2009,"Quarterly Journal of Speech",95,"4",,412,434,,11,10.1080/00335630903296176,"https://www.scopus.com/inward/record.url?eid=2-s2.0-70949106201&partnerID=40&md5=6fad1e6f7af06763729787f4cce0a1f0",Article,Final,,Scopus,2-s2.0-70949106201
"Lundberg, C.","35192161300","Enjoying god's death: The passion of the christ and the practices of an evangelical public",2009,"Quarterly Journal of Speech",95,"4",,387,411,,43,10.1080/00335630903296184,"https://www.scopus.com/inward/record.url?eid=2-s2.0-70949094373&partnerID=40&md5=b56029897e21e730748a4b8dbcee57a6",Article,Final,,Scopus,2-s2.0-70949094373
"Terrill, R.E.","7005848965","Unity and duality in Barack Obama's ""a more perfect union""",2009,"Quarterly Journal of Speech",95,"4",,363,386,,39,10.1080/00335630903296192,"https://www.scopus.com/inward/record.url?eid=2-s2.0-70949083457&partnerID=40&md5=45b47b690567b80db6fd480ad8196976",Article,Final,,Scopus,2-s2.0-70949083457
"Baleghizadeh, S.","36493973400","The effect of pair work on a word-building task",2009,"ELT Journal",64,"4",,405,413,,12,10.1093/elt/ccp097,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77956896898&partnerID=40&md5=7bf9c9cf74f712e363d83c554c2ced48",Article,Final,,Scopus,2-s2.0-77956896898
"Zheng, D., Young, M.F., Wagner, M.M., Brewer, R.A.","35191354300; 7404193114; 57196067699; 35190080500","Negotiation for action: English language learning in game-based virtual worlds",2009,"Modern Language Journal",93,"4",,489,511,,97,10.1111/j.1540-4781.2009.00927.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-70849110949&partnerID=40&md5=edd396d03f3e8129dfbb60049f44c1f6",Article,Final,,Scopus,2-s2.0-70849110949
"Anthony Brown, N.","16306528300","Argumentation and debate in foreign language instruction: A case for the traditional classroom facilitating advanced-level language uptake",2009,"Modern Language Journal",93,"4",,534,549,,6,10.1111/j.1540-4781.2009.00929.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-70749131433&partnerID=40&md5=9e0b3dd28030d2384f1d198d094d5036",Article,Final,,Scopus,2-s2.0-70749131433
"Bown, J.","15830901600","Self-regulatory strategies and agency in self-instructed language learning: A situated view",2009,"Modern Language Journal",93,"4",,570,583,,30,10.1111/j.1540-4781.2009.00965.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-70749127467&partnerID=40&md5=24c197ba28768f776f7f6ece17ac8c90",Article,Final,,Scopus,2-s2.0-70749127467
"O'donnell, M.E.","35189262700","Finding middle ground in second language reading: Pedagogic modifications that increase comprehensibility and vocabulary acquisition while preserving authentic text features",2009,"Modern Language Journal",93,"4",,512,533,,11,10.1111/j.1540-4781.2009.00928.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-70749112736&partnerID=40&md5=2f74333d03513a4e367aed6fd6d80ffe",Article,Final,,Scopus,2-s2.0-70749112736
"Kato, S.","35189049200","Suppressing inner speech in ESL reading: Implications for developmental changes in second language word recognition processes",2009,"Modern Language Journal",93,"4",,471,488,,8,10.1111/j.1540-4781.2009.00926.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-70749107887&partnerID=40&md5=dbd4918b910ca5c39a77d04dac574ccb",Article,Final,,Scopus,2-s2.0-70749107887
"Polio, C., Zyzik, E.","6602901770; 14632653300","Don quixote meets ser and estar: Multiple perspectives on language learning in Spanish literature classes",2009,"Modern Language Journal",93,"4",,550,569,,24,10.1111/j.1540-4781.2009.00930.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-70749094708&partnerID=40&md5=e167efeff0db30ac66d8f533300342ab",Article,Final,,Scopus,2-s2.0-70749094708
"Etienne, C., Sax, K.","14624949800; 26121408300","Stylistic variation in French: Bridging the gap between research and textbooks",2009,"Modern Language Journal",93,"4",,584,606,,24,10.1111/j.1540-4781.2009.00931.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-70749084224&partnerID=40&md5=80fb0bcf6df552d5b503d51163a69186",Article,Final,,Scopus,2-s2.0-70749084224
"Boas, H.C.","10045769500","The life and death of Texas German",2009,"American Speech",83,"SUPPL. 93",,i,336,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-70749117450&partnerID=40&md5=6430f1e2b34846d7d0c914b41fadc496",Review,Final,,Scopus,2-s2.0-70749117450
"Syrett, K., Kennedy, C., Lidz, J.","27868177000; 35558588200; 6603025693","Meaning and context in children's understanding of gradable adjectives",2009,"Journal of Semantics",27,"1",,1,35,,41,10.1093/jos/ffp011,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77953583973&partnerID=40&md5=b6b23e86e9a8415a31e2242366a40c4c",Article,Final,,Scopus,2-s2.0-77953583973
"Tully, C.","35977227800","Feminism misconceived: Mary Wollstonecraft and the critical disenfranchisement of Francisca de Larrea (1775 - 1838)",2009,"Forum for Modern Language Studies",46,"1", cqp120,84,96,,1,10.1093/fmls/cqp120,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77951647556&partnerID=40&md5=1efbe300b73f9b36dcf0610df71d57b2",Article,Final,,Scopus,2-s2.0-77951647556
"Sung, C.C.M.","40662001000","English as the language of Asian business and professions symposium",2009,"Asian Englishes",12,"2",,110,112,,,10.1080/13488678.2009.10801265,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85033262308&partnerID=40&md5=6293a5a28619f92409f94a0ecadd18ce",Article,Final,,Scopus,2-s2.0-85033262308
"Lyle, C.","55658400000","The fractal nature of French tense/aspect acquisition",2009,"Journal of Applied Linguistics",6,"1",,45,67,,2,10.1558/japl.v6i1.45,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84876587926&partnerID=40&md5=0cfc8335f03e6aad286ac11022c0d931",Article,Final,,Scopus,2-s2.0-84876587926
"Zareva, A.","9237761600","Lexical composition of effective L1 and L2 students'academic presentations",2009,"Journal of Applied Linguistics",6,"1",,91,110,,4,10.1558/japl.v6i1.91,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84876585375&partnerID=40&md5=91e2c4896c536e8004ecff1462b2e363",Article,Final,,Scopus,2-s2.0-84876585375
"Magid, M.","55315512800","The L2 Motivational Self System from a Chinese perspective: A mixed methods study",2009,"Journal of Applied Linguistics",6,"1",,69,90,,23,10.1558/japl.v6i1.69,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84876571794&partnerID=40&md5=528935545219261b096a94b83967f3fe",Article,Final,,Scopus,2-s2.0-84876571794
"Hedeboe, B.","55659935800","Emergence of evaluative stance: Tracing primary school children's language development in story writing",2009,"Journal of Applied Linguistics",6,"1",,23,44,,,10.1558/japl.v6i1.23,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84876549276&partnerID=40&md5=db6f4a6d8dea74123b807d73fd259383",Article,Final,,Scopus,2-s2.0-84876549276
