Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Rocks, C., Jenkins, S., Studley, M., McGoran, D.","57215535268; 35236958300; 8922780300; 35237722000","Heart Robot, a public engagement project",2009,"Interaction Studies",10,"3",,427,452,,6,10.1075/is.10.3.07roc,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72649102103&partnerID=40&md5=a2bf131039b0cc7c67214193c4d15f32",Article,Final,,Scopus,2-s2.0-72649102103
"Wisspeintner, T., Van Der Zant, T., Iocchi, L., Schiffer, S.","23092473000; 19640736400; 6602922345; 23096259200","RoboCup@Home scientific competition and benchmarking for domestic service robots",2009,"Interaction Studies",10,"3",,392,426,,83,10.1075/is.10.3.06wis,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72649101700&partnerID=40&md5=212aca8718e76ceb4d6e7635e4e98e2d",Article,Final,,Scopus,2-s2.0-72649101700
"Goodrich, M.A., Morse, B.S., Engh, C., Cooper, J.L., Adams, J.A.","7005513246; 7005960944; 24829007600; 14518954400; 35546747200","Towards using unmanned aerial vehicles (UAVs) in wilderness search and rescue lessons from field trials",2009,"Interaction Studies",10,"3",,453,478,,49,10.1075/is.10.3.08goo,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72649096733&partnerID=40&md5=4d387200d3eaae315d3f6af212af4e9d",Article,Final,,Scopus,2-s2.0-72649096733
"Hüttenrauch, H., Topp, E.A., Eklundh, K.S.","6506949765; 7006149135; 6602235083","The art of gate-crashing bringing HRI into users homes",2009,"Interaction Studies",10,"3",,274,297,,8,10.1075/is.10.3.02hut,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72649095578&partnerID=40&md5=c6639f578579292d5330036240531601",Article,Final,,Scopus,2-s2.0-72649095578
"Nomura, T., Kanda, T., Suzuki, T., Kato, K.","7403422375; 7403134618; 55731597100; 14054250200","Age differences and images of robots Social survey in Japan",2009,"Interaction Studies",10,"3",,374,391,,16,10.1075/is.10.3.05nom,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72649090795&partnerID=40&md5=5b3a406b1d35874faf03d06da6513d1b",Article,Final,,Scopus,2-s2.0-72649090795
"François, D., Powell, S., Dautenhahn, K.","14054035300; 7201575250; 7003305185","A long-term study of children with autism playing with a robotic pet Taking inspirations from non-directive play therapy to encourage childrens proactivity and initiative-taking",2009,"Interaction Studies",10,"3",,324,373,,45,10.1075/is.10.3.04fra,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72649090032&partnerID=40&md5=587d2cf63c986edfdc1309563433a1f8",Article,Final,,Scopus,2-s2.0-72649090032
"Marin, L., Issartel, J., Chaminade, T.","7102404415; 12797469400; 8339688200","Interpersonal motor coordination From human-human to human-robot interactions",2009,"Interaction Studies",10,"3",,479,504,,18,10.1075/is.10.3.09mar,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72649086969&partnerID=40&md5=6339dc6001a2344f46b24fadabde51bb",Article,Final,,Scopus,2-s2.0-72649086969
"Lohse, M., Hanheide, M., Pitsch, K., Rohlfing, K.J., Sagerer, G.","24492239400; 6507632075; 35194699000; 14024566800; 7004644220","Improving HRI design by applying Systemic Interaction Analysis (SInA)",2009,"Interaction Studies",10,"3",,298,323,,4,10.1075/is.10.3.03loh,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72649086695&partnerID=40&md5=2686d5d08e84190a4fb683ace1f0532c",Article,Final,,Scopus,2-s2.0-72649086695
"Asher, N., Benamara, F., Mathieu, Y.Y.","8712916000; 12239481900; 55633565100","Appraisal of opinion expressions in discourse",2009,"Lingvisticae Investigationes",32,"2",,279,292,,39,10.1075/li.32.2.10ash,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72649101095&partnerID=40&md5=f2677aa40b3a21bde74d1a79065e6e42",Review,Final,,Scopus,2-s2.0-72649101095
"Machonis, P.A.","26423142100","Compositional phrasal verbs with up: Direction, aspect, intensity",2009,"Lingvisticae Investigationes",32,"2",,253,264,,2,10.1075/li.32.2.08mac,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72649097667&partnerID=40&md5=4c87d0dae9ff59c877f04cb9bd0335be",Article,Final,,Scopus,2-s2.0-72649097667
