"ID"	"Authors"	"Title"	"Year"	"Source.title"	"Volume"	"Issue"	"clickable_doi"
"ab7e266a"	"Beltrán, C.A., Moreno, M.P., Estrada, J.G.S., López, T.M.T., Rodríguez, M.G.A."	"Social support, Burnout Syndrome and occupational exhaustion among Mexican traffic police agents"	2009	"Spanish Journal of Psychology"	"12"	"2"	"http://doi.org/10.1017/S1138741600001955"
"21bfae1b"	"Embick, D."	"Variation and morphosyntactic theory: Competition fractionated"	2008	"Linguistics and Language Compass"	"2"	"1"	"http://doi.org/10.1111/j.1749-818X.2007.00038.x"
"377fe15e"	"Shields, K."	"Typological assessment of reconstruction: Did indo-european have inclusive and exclusive first person plural personal pronouns?"	2009	"Lingua Posnaniensis"	"51"	"1"	"http://doi.org/10.2478/v10122-009-0004-z"
"96ef1705"	"Ooi, V.B.Y."	"The Lexis of electronic gaming on the Web: A sinclairian approach"	2008	"International Journal of Lexicography"	"21"	"3"	"http://doi.org/10.1093/ijl/ecn021"
"f88e6d2d"	"Bonvillian, J.D., Ingram, V.L., McCleary, B.M."	"Observations on the use of manual signs and gestures in the communicative interactions between native Americans and Spanish explorers of North America: The Accounts of Bernal díaz del Castillo and álvar núnẽz Cabeza de Vaca"	2008	"Sign Language Studies"	"9"	"2"	"http://doi.org/"
"65e8c2b7"	"Sylvester, R., Greenidge, W.-L."	"Digital storytelling: Extending the potential for struggling writers"	2009	"Reading Teacher"	"63"	"4"	"http://doi.org/10.1598/RT.63.4.3"
"39ac7423"	"Colleman, T., De Clerck, B."	"'Caused motion'? the semantics of the English to-dative and the Dutch aan-dative"	2009	"Cognitive Linguistics"	"20"	"1"	"http://doi.org/10.1515/COGL.2009.002"
"12747530"	"Bartneck, C., Reichenbach, J., Carpenter, J."	"The carrot and the stick: The role of praise and punishment in human-robot interaction"	2008	"Interaction Studies"	"9"	"2"	"http://doi.org/10.1075/is.9.2.03bar"
"eff485ae"	"Ramakrishnan, S., Srinivasan, S."	"Intelligent agent based artificial immune system for computer security-a review"	2009	"Artificial Intelligence Review"	"32"	"1-4"	"http://doi.org/10.1007/s10462-009-9131-8"
"cc212873"	"Chinn, C."	"Libertas reverentiam remisit: Politics and metaphor in Statius Silvae 1.6"	2008	"American Journal of Philology"	"129"	"1"	"http://doi.org/10.1353/ajp.2008.0014"
"8641acf8"	"Burenhult, N., Levinson, S.C."	"Language and landscape: a cross-linguistic perspective"	2008	"Language Sciences"	"30"	"2-3"	"http://doi.org/10.1016/j.langsci.2006.12.028"
"abb12408"	"Norman, J.F., Crabtree, C.E., Bartholomew, A.N., Ferrell, E.L."	"Aging and the perception of slant from optical texture, motion parallax, and binocular disparity"	2009	"Attention, Perception, and Psychophysics"	"71"	"1"	"http://doi.org/10.3758/APP.71.1.116"
"52dc4a19"	"Hodges, A."	"The politics of recontextualization: Discursive competition over claims of Iranian involvement in Iraq"	2008	"Discourse and Society"	"19"	"4"	"http://doi.org/10.1177/0957926508089940"
"9c1805fd"	"Conole, G."	"Listening to the learner voice: The ever changing landscape of technology use for language students"	2008	"ReCALL"	"20"	"2"	"http://doi.org/10.1017/S0958344008000220"
"8c4a0cec"	"Wilms, W."	"From bergsteiger to bergkrieger. Gustav Renker, Luis Trenker, and the Rebirth of the German nation in rock and ice"	2009	"Colloquia Germanica"	"42"	"3"	"http://doi.org/"
"40dc1574"	"Prenderqast, C."	"The fighting style: Reading the unabomber's strunk and white"	2009	"College English"	"72"	"1"	"http://doi.org/"
"0a506339"	"Demont-Heinrich, C."	"American \"prestige press\" representations of the global hegemony of English"	2008	"World Englishes"	"27"	"2"	"http://doi.org/10.1111/j.1467-971X.2008.00550.x"
"cbf14c24"	"During, L."	"Film theory"	2009	"Year's Work in Critical and Cultural Theory"	"17"	"1"	"http://doi.org/10.1093/ywcct/mbp001"
"fe0a0eef"	"Kubota, R., McKay, S."	"Globalization and language learning in rural Japan: The role of English in the local linguistic ecology"	2009	"TESOL Quarterly"	"43"	"4"	"http://doi.org/10.1002/j.1545-7249.2009.tb00188.x"
"7f88d6de"	"Cataño, L., Barlow, J.A., Moyna, M.I."	"A retrospective study of phonetic inventory complexity in acquisition of Spanish: Implications for phonological universals"	2009	"Clinical Linguistics and Phonetics"	"23"	"6"	"http://doi.org/10.1080/02699200902839818"
"3fbe6d36"	"Vick, R.M., Packard, B.W.-L."	"Academic success strategy use among community-active urban hispanic adolescents"	2008	"Hispanic Journal of Behavioral Sciences"	"30"	"4"	"http://doi.org/10.1177/0739986308322913"
"ccb52313"	"Olofsson, A."	"Half a century of relative monitoring. on the 1959 which-hunt in Scientific American"	2008	"Moderna Sprak"	"102"	"2"	"http://doi.org/"
"a4207677"	"Nordlunde, J."	"Royal katars of bundi"	2009	"South Asian Studies"	"25"	"1"	"http://doi.org/10.1080/02666030.2009.9628703"
